LT	2014-01-01	New Year's Day
LT	2015-07-06	King Mindaugas’ Coronation Day
LT	2014-07-06	King Mindaugas’ Coronation Day
LT	2015-03-11	Independence Restoration Day
LT	2015-04-04	Holy Saturday
LT	2014-04-19	Holy Saturday
LT	2015-08-15	Feast of the Assumption of Mary
LT	2016-06-05	Fathers' Day
LT	2015-06-07	Fathers' Day
LT	2015-10-25	Daylight Saving Time ends
LT	2016-12-25	Christmas Day
LT	2014-03-04	Carnival
LT	2016-06-24	St John's Day/Day of Dew
LT	2015-06-24	St John's Day/Day of Dew
LT	2016-01-01	New Year's Day
LT	2016-05-01	Labour Day
LT	2014-05-01	Labour Day
LT	2016-03-11	Independence Restoration Day
LT	2014-03-11	Independence Restoration Day
LT	2015-02-16	Independence Day/National Day
LT	2016-03-26	Holy Saturday
LT	2015-10-31	Halloween
LT	2014-10-31	Halloween
LT	2015-04-05	Easter Sunday
LT	2016-03-28	Easter Monday
LT	2015-03-29	Daylight Saving Time starts
LT	2014-03-30	Daylight Saving Time starts
LT	2016-12-24	Christmas Eve
LT	2014-12-24	Christmas Eve
LT	2016-02-09	Carnival
LT	2016-07-06	King Mindaugas’ Coronation Day
LT	2016-02-16	Independence Day/National Day
LT	2014-02-16	Independence Day/National Day
LT	2016-10-31	Halloween
LT	2014-10-26	Daylight Saving Time ends
LT	2015-02-17	Carnival
LT	2016-11-01	All Saints' Day
LT	2015-02-14	Valentine's Day
LT	2016-12-26	Second Day of Christmas
LT	2015-01-01	New Year's Day
LT	2015-05-01	Labour Day
LT	2015-04-03	Good Friday
LT	2014-04-18	Good Friday
LT	2014-06-01	Fathers' Day
LT	2016-03-27	Easter Sunday
LT	2014-04-20	Easter Sunday
LT	2015-12-24	Christmas Eve
LT	2014-12-25	Christmas Day
LT	2016-02-14	Valentine's Day
LT	2016-12-31	New Year's Eve
LT	2015-12-31	New Year's Eve
LT	2016-05-01	Mothers' Day
LT	2015-05-03	Mothers' Day
LT	2014-05-04	Mothers' Day
LT	2016-03-25	Good Friday
LT	2016-08-15	Feast of the Assumption of Mary
LT	2014-08-15	Feast of the Assumption of Mary
LT	2015-04-06	Easter Monday
LT	2014-04-21	Easter Monday
LT	2015-12-25	Christmas Day
LT	2015-11-01	All Saints' Day
LT	2014-11-01	All Saints' Day
VT	2015-05-09	Working day for Public Holiday
VT	2015-04-25	Working day for Public Holiday
VT	2015-02-14	Working day for January 28
VT	2014-12-27	Working day for Jan. 2, 2015
VT	2015-02-17	Tet holiday
VT	2015-02-16	Tet holiday
VT	2015-02-15	Tet holiday
VT	2015-04-29	Public Holiday
VT	2015-04-27	Public Holiday
VT	2015-01-02	New Year's Day holiday
VT	2014-09-06	Working day for September 1
VT	2014-04-26	Working day for May 2
VT	2014-02-08	Working day for January 29
VT	2014-01-25	Working day for January 28
VT	2014-01-29	Tet holiday
VT	2014-01-28	Tet holiday
VT	2014-05-02	International Labor Day holiday
VT	2014-09-01	Independence Day holiday
VT	2016-02-07	Vietnamese New Year's Eve
VT	2015-02-19	Vietnamese New Year
VT	2016-02-09	Tet holiday
VT	2015-02-21	Tet holiday
VT	2014-02-04	Tet holiday
VT	2014-04-30	Liberation Day/Reunification Day
VT	2015-01-01	International New Year's Day
VT	2016-05-02	International Labor Day observed
VT	2014-01-30	Vietnamese New Year's Eve
VT	2014-04-09	Vietnamese Kings' Commemoration Day
VT	2015-02-20	Tet holiday
VT	2014-02-05	Tet holiday
VT	2016-01-01	International New Year's Day
VT	2014-01-01	International New Year's Day
VT	2016-05-01	International Labor Day
VT	2016-12-24	Christmas Eve
VT	2014-12-24	Christmas Eve
VT	2015-02-18	Vietnamese New Year's Eve
VT	2016-04-16	Vietnamese Kings' Commemoration Day
VT	2016-02-12	Tet holiday
VT	2016-02-11	Tet holiday
VT	2016-02-10	Tet holiday
VT	2015-04-30	Liberation Day/Reunification Day
VT	2015-12-31	International New Year's Eve
VT	2015-05-01	International Labor Day
VT	2014-05-01	International Labor Day
VT	2014-09-02	Independence Day
VT	2016-12-25	Christmas Day
VT	2015-12-25	Christmas Day
VT	2014-12-25	Christmas Day
VT	2016-02-08	Vietnamese New Year
VT	2014-01-31	Vietnamese New Year
VT	2015-04-28	Vietnamese Kings' Commemoration Day
VT	2015-02-23	Tet holiday
VT	2015-02-22	Tet holiday
VT	2014-02-03	Tet holiday
VT	2014-02-02	Tet holiday
VT	2014-02-01	Tet holiday
VT	2016-05-02	Liberation Day/Reunification Day observed
VT	2016-04-30	Liberation Day/Reunification Day
VT	2016-12-31	International New Year's Eve
VT	2014-12-31	International New Year's Eve
VT	2016-09-02	Independence Day
VT	2015-09-02	Independence Day
VT	2015-12-24	Christmas Eve
GB	2015-07-13	Battle of the Boyne observed
GB	2014-07-14	Battle of the Boyne observed
GB	2016-07-12	Battle of the Boyne
GB	2015-07-12	Battle of the Boyne
GB	2014-07-12	Battle of the Boyne
GB	2016-03-01	St. David's Day
GB	2015-03-01	St. David's Day
GB	2014-03-01	St. David's Day
GB	2016-04-23	St. George's Day
GB	2015-04-23	St. George's Day
GB	2014-04-23	St. George's Day
GB	2016-12-27	Bank Holiday
GB	2015-12-28	Bank Holiday
GB	2016-08-29	Summer Bank Holiday
GB	2015-08-31	Summer Bank Holiday
GB	2014-08-25	Summer Bank Holiday
GB	2016-03-28	Easter Monday
GB	2015-04-06	Easter Monday
GB	2014-04-21	Easter Monday
GB	2016-11-30	St Andrew's Day
GB	2016-05-30	Spring Bank Holiday
GB	2016-11-13	Remembrance Sunday
GB	2014-11-09	Remembrance Sunday
GB	2016-01-01	New Year's Day
GB	2014-01-01	New Year's Day
GB	2016-11-05	Guy Fawkes Day
GB	2014-01-02	2nd January
GB	2016-08-01	Summer Bank Holiday
GB	2015-11-30	St Andrew's Day
GB	2015-01-01	New Year's Day
GB	2015-10-31	Halloween
GB	2014-04-20	Easter Sunday
GB	2015-10-25	Daylight Saving Time ends
GB	2014-10-26	Daylight Saving Time ends
GB	2016-01-04	2nd January
GB	2015-11-08	Remembrance Sunday
GB	2016-10-31	Halloween
GB	2016-03-25	Good Friday
GB	2015-04-03	Good Friday
GB	2016-03-27	Easter Sunday
GB	2015-04-05	Easter Sunday
GB	2016-05-02	Early May Bank Holiday
GB	2015-05-04	Early May Bank Holiday
GB	2014-03-30	Daylight Saving Time starts
GB	2016-12-25	Christmas Day
GB	2016-12-26	Boxing Day
GB	2014-12-26	Boxing Day
GB	2015-08-03	Summer Bank Holiday
GB	2014-08-04	Summer Bank Holiday
GB	2015-03-17	St Patricks Day
GB	2014-12-01	St Andrew's Day observed
GB	2014-11-30	St Andrew's Day
GB	2014-05-26	Spring Bank Holiday
GB	2014-10-31	Halloween
GB	2015-11-05	Guy Fawkes Day
GB	2014-11-05	Guy Fawkes Day
GB	2014-12-25	Christmas Day
GB	2015-01-02	2nd January
GB	2016-03-17	St Patricks Day
GB	2014-03-17	St Patricks Day
GB	2015-05-25	Spring Bank Holiday
GB	2014-04-18	Good Friday
GB	2014-05-05	Early May Bank Holiday
GB	2015-03-29	Daylight Saving Time starts
GB	2015-12-25	Christmas Day
GB	2015-12-26	Boxing Day
